onnx_name,mac_ori,ori_peak_mem,peak_after_ourTS_bal,peak_after_tinyTS,peak_after_tinynas,reduction_ourTS_bal,reduction_tinyTS,reduction_tinynas,needTS,valid_ourTS_bal,valid_tinyTS,valid_tinynas,TSwork_ourTS_bal,TSwork_tinyTS,TSwork_tinynas
w0.25_ir64_subnet_ID29,17582592,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID3,9048576,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID30,7486464,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID31,30296064,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID32,45834240,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID33,29558784,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID34,45686784,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID35,15642624,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID36,7016448,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID37,12670464,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID38,26024448,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID39,11891712,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID4,8067072,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID40,6910464,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID41,10960896,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID42,46718976,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID43,20250624,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID44,8716800,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID45,33890304,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID46,15490560,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID47,7928832,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID48,15384576,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID49,15780864,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID5,59713536,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.25_ir64_subnet_ID50,29153280,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID51,38811648,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID52,45861888,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID53,32305152,196608,196608,196608,196608,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.25_ir64_subnet_ID54,7449600,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID55,7970304,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID56,25554432,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID57,35825664,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID58,32858112,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID59,29061120,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID6,10509312,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID60,16066560,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID61,11532288,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID62,7615488,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
